airport,FN,FP,TN,TP,total
EKCH,1,0,1854,6,1861
EFHK,1,1,1919,5,1926
CYUL,0,0,1901,6,1907
CYYZ,0,1,1829,1,1831
EDDM,0,2,1880,7,1889
EDDF,0,3,1846,8,1857
EGLL,0,0,1820,9,1829
EHAM,0,1,1820,5,1826
ENGM,0,1,1825,7,1833
EPWA,0,0,1899,12,1911
KATL,0,0,1848,6,1854
KBOS,0,2,1956,4,1962
KDEN,0,2,1839,4,1845
KDFW,0,2,1854,7,1863
KDTW,0,1,1828,5,1834
KEWR,0,1,1853,7,1861
KJFK,0,1,1816,4,1821
KLAX,0,1,1881,7,1889
KMIA,0,0,1806,7,1813
KORD,0,1,1829,10,1840
KPHX,0,2,1926,8,1936
KSFO,0,0,1896,5,1901
LEBL,0,0,1888,10,1898
LEMD,0,0,1882,5,1887
LFPG,0,0,1838,10,1848
LIRF,0,1,1895,12,1908
LKPR,0,1,1829,7,1837
LOWW,0,0,1836,8,1844
LSZH,0,3,1772,5,1780
LTFM,0,0,1954,8,1962
OMDB,0,3,1925,7,1935
OTHH,0,0,1927,2,1929
UKBB,0,0,1839,7,1846
UUEE,0,1,1882,9,1892
VHHH,0,0,1866,5,1871
VIDP,0,1,1883,3,1887
WSSS,0,3,1938,3,1944
YMML,0,0,1879,5,1884
YSSY,0,0,1828,8,1836
ZBAA,0,0,1918,5,1923
