model_name,feature_set,validation_roc_auc,validation_average_precision,validation_f1,validation_precision,validation_recall,test_roc_auc,test_average_precision,test_f1,test_precision,test_recall,best_threshold,source_file
logreg,full,0.999992,0.997238,0.985413,0.993464,0.977492,0.996155,0.990172,0.980769,0.984556,0.977011,0.49208961569705184,logreg_full.json
mlp,full,0.999971,0.987559,0.987097,0.990291,0.983923,0.998065,0.987413,0.990403,0.992308,0.988506,1.0,mlp_full.json
random_forest,full,0.999972,0.986952,0.987179,0.984026,0.990354,0.999978,0.988058,0.982792,0.980916,0.984674,0.6466327187878436,random_forest_full.json
lda,full,0.996758,0.986706,0.958333,0.955272,0.961415,0.994222,0.978678,0.943609,0.926199,0.961686,0.631578947368421,lda_full.json
lightgbm,full,0.988601,0.899308,0.877797,0.944444,0.819936,0.970404,0.850337,0.860558,0.896266,0.827586,0.625,lightgbm_full.json
random_forest,context_metar,0.993456,0.647943,0.641379,0.69145,0.598071,0.990414,0.616136,0.604938,0.653333,0.563218,0.42373916775467657,random_forest_context_metar.json
mlp,context_metar,0.945243,0.578337,0.575569,0.80814,0.446945,0.929342,0.572312,0.57,0.820144,0.436782,0.55,mlp_context_metar.json
logreg,context_metar,0.992224,0.564991,0.56241,0.507772,0.630225,0.988812,0.549722,0.539898,0.484756,0.609195,0.25,logreg_context_metar.json
lightgbm,context_metar,0.921878,0.526112,0.560386,0.56129,0.559486,0.928762,0.512346,0.580407,0.560714,0.601533,0.2280584197808062,lightgbm_context_metar.json
lda,context_metar,0.981722,0.456777,0.537313,0.64,0.463023,0.979364,0.488513,0.54185,0.637306,0.471264,0.1424399634747769,lda_context_metar.json
lda,context_only,0.538276,0.004759,0.015781,0.009434,0.048232,0.502727,0.003487,0.004313,0.002509,0.015326,0.011873350923482849,lda_context_only.json
logreg,context_only,0.529687,0.00466,0.014397,0.00885,0.038585,0.503086,0.003531,0.004748,0.002809,0.015326,0.0109204368174727,logreg_context_only.json
random_forest,context_only,0.509799,0.004359,0.011958,0.011173,0.012862,0.497916,0.003484,0.00313,0.002646,0.003831,0.010256410256410256,random_forest_context_only.json
mlp,context_only,0.505483,0.004261,0.008259,0.004147,1.0,0.483135,0.003389,0.006936,0.00348,1.0,0.003882228709857755,mlp_context_only.json
lightgbm,context_only,0.509728,0.004254,0.009954,0.005306,0.080386,0.493147,0.003442,0.004939,0.00261,0.045977,0.005005005005005005,lightgbm_context_only.json
